"col0","col1","col2","LocName","fX","fY","iConf","iLvl"
ヴィクトリーライトニング,静岡県島田市阿知ケ谷３４６−７,０５４７−５４−４０２８,"静岡県/島田市/阿知ケ谷/３４６番地","138.20010","34.84103","5","7"
割烹旅館　魚一,静岡県島田市道悦５丁目１−１８,０５４７−３７ー３２６３,"静岡県/島田市/道悦/五丁目/１番","138.20480","34.83776","5","7"
細島屋本店,静岡県島田市栄町１−８,０５４７−３７ー５２３４,"静岡県/島田市/栄町/１番","138.17511","34.83179","5","7"
ステーキハウス　ラグー,静岡県島田市大津通１９６５−８サンライズビル２Ｆ,０５４７−３５ー５０５７,"静岡県/島田市/大津通/１９６５番地","138.17816","34.83610","5","7"
ポプリ,静岡県島田市大津通４−３,０５４７−３６ー７７７１,"静岡県/島田市/大津通/４番","138.17766","34.83484","5","7"
割烹　三三九,静岡県島田市本通６丁目６０３１,０５４７−３６ー９９２８,"静岡県/島田市/本通/六丁目/６０３１番地","138.17886","34.83109","5","7"
お食事処　こいわ,静岡県島田市本通４丁目６−７,０５４７−３５ー６５５７,"静岡県/島田市/本通/四丁目/６番","138.17723","34.83227","5","7"
ごはんCafe美・菜・健かりん,静岡県島田市中溝町１６３２−９,０５４７−３６ー７７１１,"静岡県/島田市/中溝町/１６３２番地","138.16753","34.83919","5","7"
菩主　BOSU,静岡県島田市日之出町１−６,０５４７−３６ー２３２３,"静岡県/島田市/日之出町/１番","138.17470","34.83184","5","7"
化粧品のムラタ,静岡県島田市柳町８−３,０５４７−３５ー５１７６,"静岡県/島田市/柳町/８番地","138.17665","34.83367","5","7"
和蔵,静岡県島田市本通２丁目４-２７,０５４７−３５−７５６９,"静岡県/島田市/本通/二丁目/４番地","138.17390","34.83262","5","7"
ホテルラクーネしまだ,静岡県島田市幸町５−１０,０５４７−３４−００１１,"静岡県/島田市/幸町/５番地","138.17493","34.83498","5","7"
炭火焼えんらく,静岡県島田市幸町５−１０　ホテルラクーネしまだ1F,０５４７−３４−０８８８,"静岡県/島田市/幸町/５番地","138.17493","34.83498","5","7"
食事処　蓬春,静岡県島田市旗指５１０−１,０５４７−３５−６７７４,"静岡県/島田市/旗指/５１０番地","138.16805","34.84259","5","7"
御菓子処　龍月堂,静岡県島田市本通６丁目７８４７,０５４７−３７−３２９７,"静岡県/島田市/本通/六丁目/７８４７番地","138.17932","34.83205","5","7"
ホテル割烹　三布袋,静岡県島田市本通３丁目５−５,０５４７−３７−２０３２,"静岡県/島田市/本通/三丁目/５番","138.17596","34.83299","5","7"
ごはん屋ととも,静岡県島田市新町通１−５,０５４７−３７−２９７９,"静岡県/島田市/新町通/１番","138.17757","34.83173","5","7"
和座こまつ,静岡県島田市幸町１７−４,０５４７−３７−３６８１,"静岡県/島田市/幸町/１７番","138.17607","34.83371","5","7"
文具のオカダ,静岡県島田市本通３丁目５−７,０５４７−３６−２６２６,"静岡県/島田市/本通/三丁目/５番","138.17596","34.83299","5","7"
ｃａｆｅ　Ｚｅａｌ,静岡県島田市本通４丁目６−５,０５４７−３３−６６８５,"静岡県/島田市/本通/四丁目/６番","138.17723","34.83227","5","7"
ローズショップ,静岡県島田市ばらの丘１丁目２１−１,０５４７−３７−０８８８,"静岡県/島田市/ばらの丘/一丁目/２１番地","138.17522","34.85194","5","7"
プラモデル少年科学社,静岡県島田市本通２丁目４−１１,０５４７−３６−４１０６,"静岡県/島田市/本通/二丁目/４番地","138.17390","34.83262","5","7"
ホッとｃａｆｅ,静岡県島田市中央町４-１２　松本ビル１Ｆ,０５４７−３７−００５６,"静岡県/島田市/中央町/４番地","138.17488","34.83704","5","7"
カフェマンハッタン,静岡県島田市本通２丁目５−１２,０５４７−３７−６８００,"静岡県/島田市/本通/二丁目/５番地","138.17436","34.83261","5","7"
酒井生花店,静岡県島田市本通６丁目８３４４−２,０５４７−３７−３７０２,"静岡県/島田市/本通/六丁目","138.17979","34.83170","5","6"
「御手杵」カフェミルトス３７５３,静岡県,０８０−６７５１−４６０７,"静岡県","138.38315","34.97683","3","1"
松田陶器,静岡県島田市本通２丁目３−１１,０５４７−３７−２８０７,"静岡県/島田市/本通/二丁目/３番地","138.17393","34.83314","5","7"
クラブ　エゴイスト,静岡県島田市日之出町２−１０,０５４７−３６−０１６７,"静岡県/島田市/日之出町/２番","138.17426","34.83191","5","7"
本場　大阪たこ焼き　とんぼ,静岡県島田市日之出町１−１,０５４７−３５−７６３５,"静岡県/島田市/日之出町/１番","138.17470","34.83184","5","7"
居酒屋　岡むらのぼる,静岡県島田市日之出町２−４,０５４７−３７−３７９２,"静岡県/島田市/日之出町/２番","138.17426","34.83191","5","7"
庄や　島田駅前店,静岡県島田市栄町２−１３　プラスパー島田１階,０５４７−３５−７８０１,"静岡県/島田市/栄町/２番","138.17465","34.83114","5","7"
くいもの屋わん 島田駅前店,静岡県島田市日之出町１−１０ 島田駅前河村ビル１F,０５４７−３４−８８７７,"静岡県/島田市/日之出町/１番","138.17470","34.83184","5","7"
居酒屋　加賀屋　島田店,静岡県島田市日之出町２−１０,０５４７−３５−２１７０,"静岡県/島田市/日之出町/２番","138.17426","34.83191","5","7"
ヨコヤマ靴店,静岡県島田市本通２丁目２−６,０５４７−３７−２７０９,"静岡県/島田市/本通/二丁目/２番地","138.17451","34.83314","5","7"
ＦＯＯＤ＆ＤＲＩＮＫ　Ｉｎｄｉｈｏｏｄ,静岡県島田市日之出町３−７　２Ｆ,０５４７−５４−５４３５,"静岡県/島田市/日之出町/３番地","138.17377","34.83202","5","7"
中華　通りゃんせ,静岡県島田市日之出町１−１４,０５４７−３６−１９６６,"静岡県/島田市/日之出町/１番","138.17470","34.83184","5","7"
居酒屋　たいよう,静岡県島田市日之出町１−１５,０５４７−３６−２３３７,"静岡県/島田市/日之出町/１番","138.17470","34.83184","5","7"
肌着・靴下　フジヤ,静岡県島田市本通２丁目２−２,０５４７−３７−４４３０,"静岡県/島田市/本通/二丁目/２番地","138.17451","34.83314","5","7"
小饅頭　黒大奴　元祖　清水屋,静岡県島田市本通２丁目５−５,０５４７−３７−２５４２,"静岡県/島田市/本通/二丁目/５番地","138.17436","34.83261","5","7"
諸国きもの処　祭・踊衣装　和の小物　鈴菱,静岡県島田市本通４丁目４−５,０５４７−３５−２９０８,"静岡県/島田市/本通/四丁目/４番","138.17645","34.83236","5","7"
中村菓子舗,静岡県島田市本通７丁目７７３９,０５４７−３７−５６５８,"静岡県/島田市/本通/七丁目/７７３９番地","138.18161","34.83205","5","7"
和洋菓子司　みのや,静岡県島田市本通２丁目４−１０,０５４７−３７−２８４６,"静岡県/島田市/本通/二丁目/４番地","138.17390","34.83262","5","7"
,,
